,state,year,education_level,education_code,number_of_births,avg_mother_age,avg_birth_weight_grams,ref_year
87,Alaska,2019,"Bachelor's degree (BA, AB, BS)",6,1675,32,3428.3,2003
88,Alaska,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,636,33,3417.55,2002
89,Alaska,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,221,34,3382.2,2001
90,Alaska,2020,Unknown or Not Stated,-9,153,29,3230.2,2005
91,Alaska,2020,8th grade or less,1,53,29,3362.1499999999996,2004
92,Alaska,2020,9th through 12th grade with no diploma,2,735,26,3306.95,2009
93,Alaska,2020,High school graduate or GED completed,3,2994,27,3369.3,2009
94,Alaska,2020,"Some college credit, but not a degree",4,2300,28,3384.3,2008
95,Alaska,2020,"Associate degree (AA, AS)",5,813,30,3405.95,2006
96,Alaska,2020,"Bachelor's degree (BA, AB, BS)",6,1579,31,3412.0,2005
97,Alaska,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,612,33,3390.0,2003
98,Alaska,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,230,34,3393.1000000000004,2002
99,Alaska,2021,Unknown or Not Stated,-9,168,29,3155.7,2006
100,Alaska,2021,8th grade or less,1,60,29,3162.3,2005
101,Alaska,2021,9th through 12th grade with no diploma,2,712,25,3319.05,2011
102,Alaska,2021,High school graduate or GED completed,3,2848,27,3354.8,2010
103,Alaska,2021,"Some college credit, but not a degree",4,2257,28,3387.55,2009
104,Alaska,2021,"Associate degree (AA, AS)",5,752,30,3386.45,2007
105,Alaska,2021,"Bachelor's degree (BA, AB, BS)",6,1697,32,3398.75,2005
106,Alaska,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,654,34,3410.6,2003
107,Alaska,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,219,34,3364.3999999999996,2003
108,Arizona,2016,Unknown or Not Stated,-9,551,28,3163.7,2002
109,Arizona,2016,8th grade or less,1,2751,30,3262.0,1999
110,Arizona,2016,9th through 12th grade with no diploma,2,12352,25,3227.4,2006
111,Arizona,2016,High school graduate or GED completed,3,21291,26,3261.0,2006
112,Arizona,2016,"Some college credit, but not a degree",4,20085,28,3297.8999999999996,2004
113,Arizona,2016,"Associate degree (AA, AS)",5,7173,29,3301.8,2003
114,Arizona,2016,"Bachelor's degree (BA, AB, BS)",6,13799,31,3333.0,2001
115,Arizona,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4984,33,3309.75,1999
116,Arizona,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1534,34,3280.9,1998
117,Arizona,2017,Unknown or Not Stated,-9,578,29,3171.7,2002
118,Arizona,2017,8th grade or less,1,2517,30,3274.8500000000004,2000
119,Arizona,2017,9th through 12th grade with no diploma,2,11557,25,3231.95,2007
120,Arizona,2017,High school graduate or GED completed,3,21492,26,3258.15,2007
121,Arizona,2017,"Some college credit, but not a degree",4,19218,28,3283.65,2005
122,Arizona,2017,"Associate degree (AA, AS)",5,6756,30,3303.7,2003
123,Arizona,2017,"Bachelor's degree (BA, AB, BS)",6,13019,31,3334.1000000000004,2002
124,Arizona,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,5141,33,3298.25,2000
125,Arizona,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1594,34,3297.5,1999
126,Arizona,2018,Unknown or Not Stated,-9,364,29,3063.5,2003
127,Arizona,2018,8th grade or less,1,2394,30,3255.6499999999996,2001
128,Arizona,2018,9th through 12th grade with no diploma,2,11102,25,3220.8,2008
129,Arizona,2018,High school graduate or GED completed,3,21303,26,3257.7,2008
130,Arizona,2018,"Some college credit, but not a degree",4,18661,28,3283.95,2006
131,Arizona,2018,"Associate degree (AA, AS)",5,6887,30,3294.95,2004
132,Arizona,2018,"Bachelor's degree (BA, AB, BS)",6,13326,31,3325.8,2003
133,Arizona,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,5111,33,3304.8,2001
134,Arizona,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1575,34,3246.8,2000
135,Arizona,2019,Unknown or Not Stated,-9,338,29,3001.8,2004
136,Arizona,2019,8th grade or less,1,2247,30,3258.2,2002
137,Arizona,2019,9th through 12th grade with no diploma,2,10350,25,3228.0,2009
138,Arizona,2019,High school graduate or GED completed,3,21293,27,3254.8,2008
139,Arizona,2019,"Some college credit, but not a degree",4,18249,28,3286.1000000000004,2007
140,Arizona,2019,"Associate degree (AA, AS)",5,6803,30,3310.35,2005
141,Arizona,2019,"Bachelor's degree (BA, AB, BS)",6,13466,31,3324.1,2004
142,Arizona,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,5073,33,3309.8,2002
143,Arizona,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1556,34,3263.3,2001
144,Arizona,2020,Unknown or Not Stated,-9,382,29,3048.65,2005
145,Arizona,2020,8th grade or less,1,1958,30,3228.8,2003
146,Arizona,2020,9th through 12th grade with no diploma,2,9553,25,3218.85,2010
147,Arizona,2020,High school graduate or GED completed,3,20860,27,3264.35,2009
148,Arizona,2020,"Some college credit, but not a degree",4,17562,28,3284.45,2008
149,Arizona,2020,"Associate degree (AA, AS)",5,6703,30,3298.8999999999996,2006
150,Arizona,2020,"Bachelor's degree (BA, AB, BS)",6,13262,31,3328.8500000000004,2005
151,Arizona,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,5026,33,3294.85,2003
152,Arizona,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1641,34,3260.15,2002
153,Arizona,2021,Unknown or Not Stated,-9,346,29,2914.5,2006
154,Arizona,2021,8th grade or less,1,1838,29,3229.75,2005
155,Arizona,2021,9th through 12th grade with no diploma,2,9065,25,3194.3,2011
156,Arizona,2021,High school graduate or GED completed,3,21459,27,3244.55,2010
157,Arizona,2021,"Some college credit, but not a degree",4,17105,29,3270.25,2008
158,Arizona,2021,"Associate degree (AA, AS)",5,6807,30,3284.6499999999996,2007
159,Arizona,2021,"Bachelor's degree (BA, AB, BS)",6,14283,31,3330.3,2006
160,Arizona,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,5313,33,3287.4,2004
161,Arizona,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1700,34,3285.1,2003
162,Arkansas,2016,Unknown or Not Stated,-9,232,27,2999.5,2003
163,Arkansas,2016,8th grade or less,1,928,29,3276.85,2000
164,Arkansas,2016,9th through 12th grade with no diploma,2,4724,24,3161.3,2007
165,Arkansas,2016,High school graduate or GED completed,3,12394,25,3186.0,2007
166,Arkansas,2016,"Some college credit, but not a degree",4,9164,26,3255.25,2006
167,Arkansas,2016,"Associate degree (AA, AS)",5,2807,28,3303.65,2004
168,Arkansas,2016,"Bachelor's degree (BA, AB, BS)",6,5530,30,3346.05,2002
169,Arkansas,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1961,31,3376.1,2001
170,Arkansas,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,534,33,3336.95,1999
171,Arkansas,2017,Unknown or Not Stated,-9,197,28,3025.45,2003
172,Arkansas,2017,8th grade or less,1,872,29,3224.6,2001
173,Arkansas,2017,9th through 12th grade with no diploma,2,4575,24,3152.3,2008
174,Arkansas,2017,High school graduate or GED completed,3,12520,25,3170.05,2008
175,Arkansas,2017,"Some college credit, but not a degree",4,8834,27,3239.55,2006
176,Arkansas,2017,"Associate degree (AA, AS)",5,2723,28,3267.9,2005
177,Arkansas,2017,"Bachelor's degree (BA, AB, BS)",6,5356,30,3346.55,2003
178,Arkansas,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1948,32,3337.3500000000004,2001
179,Arkansas,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,495,32,3280.1,2001
180,Arkansas,2018,Unknown or Not Stated,-9,297,28,3031.45,2004
181,Arkansas,2018,8th grade or less,1,860,30,3214.35,2001
182,Arkansas,2018,9th through 12th grade with no diploma,2,4301,24,3119.25,2009
183,Arkansas,2018,High school graduate or GED completed,3,11959,25,3175.4,2009
184,Arkansas,2018,"Some college credit, but not a degree",4,8566,27,3232.75,2007
185,Arkansas,2018,"Associate degree (AA, AS)",5,2978,28,3301.55,2006
186,Arkansas,2018,"Bachelor's degree (BA, AB, BS)",6,5291,30,3338.45,2004
187,Arkansas,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2187,32,3342.3,2002
188,Arkansas,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,579,32,3317.1499999999996,2002
189,Arkansas,2019,Unknown or Not Stated,-9,277,27,3034.8,2006
190,Arkansas,2019,8th grade or less,1,799,29,3267.25,2003
191,Arkansas,2019,9th through 12th grade with no diploma,2,3964,24,3123.25,2010
192,Arkansas,2019,High school graduate or GED completed,3,12227,25,3165.25,2010
193,Arkansas,2019,"Some college credit, but not a degree",4,8350,27,3218.3,2008
194,Arkansas,2019,"Associate degree (AA, AS)",5,2889,28,3272.2,2007
195,Arkansas,2019,"Bachelor's degree (BA, AB, BS)",6,5265,30,3336.3,2005
196,Arkansas,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2244,32,3348.8500000000004,2003
197,Arkansas,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,549,33,3306.5,2002
198,Arkansas,2020,Unknown or Not Stated,-9,315,27,3050.45,2007
199,Arkansas,2020,8th grade or less,1,823,29,3226.1000000000004,2004
200,Arkansas,2020,9th through 12th grade with no diploma,2,3672,24,3140.05,2011
201,Arkansas,2020,High school graduate or GED completed,3,11853,25,3171.3500000000004,2011
202,Arkansas,2020,"Some college credit, but not a degree",4,7666,27,3214.6,2009
203,Arkansas,2020,"Associate degree (AA, AS)",5,2940,29,3267.2,2007
204,Arkansas,2020,"Bachelor's degree (BA, AB, BS)",6,5200,30,3311.8500000000004,2006
205,Arkansas,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2185,32,3321.05,2004
206,Arkansas,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,597,33,3284.1,2003
207,Arkansas,2021,Unknown or Not Stated,-9,379,28,2883.1,2007
208,Arkansas,2021,8th grade or less,1,784,29,3208.8500000000004,2005
209,Arkansas,2021,9th through 12th grade with no diploma,2,3507,24,3109.95,2012
210,Arkansas,2021,High school graduate or GED completed,3,12079,25,3165.55,2012
211,Arkansas,2021,"Some college credit, but not a degree",4,7419,27,3226.8,2010
212,Arkansas,2021,"Associate degree (AA, AS)",5,3057,29,3257.05,2008
213,Arkansas,2021,"Bachelor's degree (BA, AB, BS)",6,5540,30,3313.2,2007
214,Arkansas,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2512,32,3330.1499999999996,2005
215,Arkansas,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,688,33,3311.95,2004
216,California,2016,Unknown or Not Stated,-9,25358,31,3254.35,1999
217,California,2016,8th grade or less,1,20226,31,3299.65,1998
218,California,2016,9th through 12th grade with no diploma,2,48019,27,3261.85,2004
219,California,2016,High school graduate or GED completed,3,117402,27,3285.55,2005
220,California,2016,"Some college credit, but not a degree",4,96498,28,3294.05,2004
221,California,2016,"Associate degree (AA, AS)",5,31795,30,3307.35,2002
222,California,2016,"Bachelor's degree (BA, AB, BS)",6,94066,32,3308.8,2000
223,California,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,41680,33,3297.25,1999
224,California,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,13783,35,3274.3500000000004,1997
225,California,2017,Unknown or Not Stated,-9,23826,31,3248.6000000000004,2000
226,California,2017,8th grade or less,1,18261,31,3288.75,1999
227,California,2017,9th through 12th grade with no diploma,2,43176,27,3260.8,2005
228,California,2017,High school graduate or GED completed,3,112979,27,3279.75,2006
229,California,2017,"Some college credit, but not a degree",4,93242,29,3294.75,2004
230,California,2017,"Associate degree (AA, AS)",5,30847,31,3301.0,2002
231,California,2017,"Bachelor's degree (BA, AB, BS)",6,94168,32,3306.35,2001
232,California,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,41456,34,3295.8500000000004,1999
233,California,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,13703,35,3272.35,1998
234,California,2018,Unknown or Not Stated,-9,24512,31,3244.5,2001
235,California,2018,8th grade or less,1,16717,31,3290.7,2000
236,California,2018,9th through 12th grade with no diploma,2,38844,27,3256.4,2006
237,California,2018,High school graduate or GED completed,3,108536,27,3280.2,2007
238,California,2018,"Some college credit, but not a degree",4,88705,29,3291.15,2005
239,California,2018,"Associate degree (AA, AS)",5,29872,31,3298.55,2003
240,California,2018,"Bachelor's degree (BA, AB, BS)",6,92001,32,3308.3,2002
241,California,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,41821,34,3294.6000000000004,2000
242,California,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,13912,35,3279.8,1999
243,California,2019,Unknown or Not Stated,-9,27947,31,3233.25,2002
244,California,2019,8th grade or less,1,14910,31,3272.95,2001
245,California,2019,9th through 12th grade with no diploma,2,35283,27,3253.6,2007
246,California,2019,High school graduate or GED completed,3,105388,28,3273.8,2007
247,California,2019,"Some college credit, but not a degree",4,85435,29,3289.55,2006
248,California,2019,"Associate degree (AA, AS)",5,29852,31,3299.05,2004
249,California,2019,"Bachelor's degree (BA, AB, BS)",6,91537,33,3298.6,2002
250,California,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,42057,34,3284.1,2001
251,California,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,14070,35,3266.1499999999996,2000
252,California,2020,Unknown or Not Stated,-9,28551,31,3238.3999999999996,2003
253,California,2020,8th grade or less,1,13407,31,3274.45,2002
254,California,2020,9th through 12th grade with no diploma,2,31227,28,3244.55,2007
255,California,2020,High school graduate or GED completed,3,99814,28,3279.55,2008
256,California,2020,"Some college credit, but not a degree",4,78868,29,3289.95,2007
257,California,2020,"Associate degree (AA, AS)",5,28365,31,3308.25,2005
258,California,2020,"Bachelor's degree (BA, AB, BS)",6,86356,33,3305.95,2003
259,California,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,40136,34,3289.65,2002
260,California,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,13535,35,3261.05,2001
261,California,2021,Unknown or Not Stated,-9,31200,31,3222.4,2004
262,California,2021,8th grade or less,1,12510,31,3258.6499999999996,2003
263,California,2021,9th through 12th grade with no diploma,2,27491,28,3243.3500000000004,2008
264,California,2021,High school graduate or GED completed,3,99304,28,3271.6000000000004,2009
265,California,2021,"Some college credit, but not a degree",4,76913,29,3286.7,2008
266,California,2021,"Associate degree (AA, AS)",5,28866,31,3298.5,2006
267,California,2021,"Bachelor's degree (BA, AB, BS)",6,88077,33,3298.9,2004
268,California,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,41662,34,3281.25,2003
269,California,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,14585,35,3262.3999999999996,2002
270,Colorado,2016,Unknown or Not Stated,-9,750,30,3107.3,2000
271,Colorado,2016,8th grade or less,1,1646,31,3210.2,1998
272,Colorado,2016,9th through 12th grade with no diploma,2,6082,25,3133.95,2006
273,Colorado,2016,High school graduate or GED completed,3,13208,26,3156.95,2006
274,Colorado,2016,"Some college credit, but not a degree",4,14136,28,3188.1,2004
275,Colorado,2016,"Associate degree (AA, AS)",5,5378,30,3199.3500000000004,2002
276,Colorado,2016,"Bachelor's degree (BA, AB, BS)",6,16426,32,3246.2,2000
277,Colorado,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,6976,33,3230.1499999999996,1999
278,Colorado,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2011,34,3203.95,1998
279,Colorado,2017,Unknown or Not Stated,-9,896,30,3138.3999999999996,2001
280,Colorado,2017,8th grade or less,1,1647,31,3193.15,1999
281,Colorado,2017,9th through 12th grade with no diploma,2,5716,25,3131.2,2007
282,Colorado,2017,High school graduate or GED completed,3,12697,26,3161.95,2007
283,Colorado,2017,"Some college credit, but not a degree",4,13381,28,3173.1,2005
284,Colorado,2017,"Associate degree (AA, AS)",5,5223,30,3188.6499999999996,2003
285,Colorado,2017,"Bachelor's degree (BA, AB, BS)",6,15743,32,3235.45,2001
286,Colorado,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,7057,33,3226.75,2000
287,Colorado,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2022,34,3198.05,1999
288,Colorado,2018,Unknown or Not Stated,-9,877,30,3090.7,2002
289,Colorado,2018,8th grade or less,1,1465,31,3198.6,2000
290,Colorado,2018,9th through 12th grade with no diploma,2,5291,25,3122.7,2008
291,Colorado,2018,High school graduate or GED completed,3,12506,26,3139.6000000000004,2008
292,Colorado,2018,"Some college credit, but not a degree",4,13177,28,3177.45,2006
293,Colorado,2018,"Associate degree (AA, AS)",5,4914,30,3187.75,2004
294,Colorado,2018,"Bachelor's degree (BA, AB, BS)",6,15574,32,3228.45,2002
295,Colorado,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,7031,33,3226.5,2001
296,Colorado,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2050,34,3206.95,2000
297,Colorado,2019,Unknown or Not Stated,-9,816,30,3101.85,2003
298,Colorado,2019,8th grade or less,1,1504,30,3167.6499999999996,2002
299,Colorado,2019,9th through 12th grade with no diploma,2,5144,25,3111.35,2009
300,Colorado,2019,High school graduate or GED completed,3,12598,26,3146.55,2009
301,Colorado,2019,"Some college credit, but not a degree",4,12669,28,3173.95,2007
302,Colorado,2019,"Associate degree (AA, AS)",5,4991,30,3176.9,2005
303,Colorado,2019,"Bachelor's degree (BA, AB, BS)",6,15825,32,3217.7,2003
304,Colorado,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,7217,34,3218.9,2001
305,Colorado,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2105,34,3189.8,2001
306,Colorado,2020,Unknown or Not Stated,-9,601,30,3126.3,2004
307,Colorado,2020,8th grade or less,1,1503,30,3162.7,2003
308,Colorado,2020,9th through 12th grade with no diploma,2,4809,26,3107.85,2009
309,Colorado,2020,High school graduate or GED completed,3,12544,27,3141.2,2009
310,Colorado,2020,"Some college credit, but not a degree",4,12034,28,3172.2,2008
311,Colorado,2020,"Associate degree (AA, AS)",5,4758,30,3176.45,2006
312,Colorado,2020,"Bachelor's degree (BA, AB, BS)",6,15758,32,3220.55,2004
313,Colorado,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,7337,33,3209.8,2003
314,Colorado,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2150,34,3208.5,2002
315,Colorado,2021,Unknown or Not Stated,-9,701,30,3078.0,2005
316,Colorado,2021,8th grade or less,1,1377,30,3164.8,2004
317,Colorado,2021,9th through 12th grade with no diploma,2,4567,25,3098.1,2011
318,Colorado,2021,High school graduate or GED completed,3,12443,27,3141.65,2010
319,Colorado,2021,"Some college credit, but not a degree",4,11943,29,3156.75,2008
320,Colorado,2021,"Associate degree (AA, AS)",5,4722,30,3167.25,2007
321,Colorado,2021,"Bachelor's degree (BA, AB, BS)",6,16975,32,3216.1,2005
322,Colorado,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,7864,34,3218.3,2003
