,state,year,education_level,education_code,number_of_births,avg_mother_age,avg_birth_weight_grams,ref_year,enrolled,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_expenditure_per_student,instruction_expenditure_per_student,support_expenditure_per_student,7yr_avg_total_per_student,7yr_avg_instruction_per_student,7yr_avg_support_per_student
25,Alabama,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,3857,32,3290.0,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146,7.087079947189231,3.7456753954956654,1.9474921079839806,7.146411868448171,3.7333183177952276,1.9890765929151486
26,Alabama,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1101,33,3281.85,2001,728532.0,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481.0,540284,6.981223885841665,3.6462269330653974,1.8863481631554964,6.8101149209627305,3.5639613880088854,1.8707473755413333
27,Alabama,2019,Unknown or Not Stated,-9,98,28,3116.25,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,8.095878202544212,4.186485900990208,2.391214272590911,8.433971440090048,4.3490296803348505,2.4829994052888944
28,Alabama,2019,8th grade or less,1,2350,28,3187.05,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619,7.461849242488547,3.9369169434488196,2.1640403166406084,7.922301905658128,4.110943403074094,2.2961560964765932
29,Alabama,2019,9th through 12th grade with no diploma,2,5855,24,3090.15,2010,748889.0,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539.0,729720,10.211888544230186,5.208371334069535,3.0824314417757503,10.088126859665014,5.103487774075398,3.074626996876383
30,Alabama,2019,High school graduate or GED completed,3,18887,26,3117.6,2009,745668.0,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019.0,924956,10.48116185755591,5.144914358669006,3.126796375867008,9.91833370261277,5.023747230815238,3.0112448840215444
31,Alabama,2019,"Some college credit, but not a degree",4,12545,27,3161.85,2008,742919.0,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746.0,816799,10.56291062686511,5.312830873890693,3.1942513248416047,9.689300586255913,4.9128805364223345,2.923180786000234
32,Alabama,2019,"Associate degree (AA, AS)",5,5017,29,3238.35,2006,743265.0,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936.0,666550,8.868208512441727,4.475733419439904,2.6686067553295256,8.918840284428144,4.548920960788185,2.6514714435578983
33,Alabama,2019,"Bachelor's degree (BA, AB, BS)",6,8892,30,3290.5,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,8.095878202544212,4.186485900990208,2.391214272590911,8.433971440090048,4.3490296803348505,2.4829994052888944
34,Alabama,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,3915,32,3307.8,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279,7.2797527132847915,3.8701895864816596,2.0902074460777578,7.518007974191148,3.907977800624369,2.136339378717363
35,Alabama,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1056,33,3325.6000000000004,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146,7.087079947189231,3.7456753954956654,1.9474921079839806,7.146411868448171,3.7333183177952276,1.9890765929151486
36,Alabama,2020,Unknown or Not Stated,-9,79,30,3003.1,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619,7.461849242488547,3.9369169434488196,2.1640403166406084,7.922301905658128,4.110943403074094,2.2961560964765932
37,Alabama,2020,8th grade or less,1,2294,28,3156.55,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,8.095878202544212,4.186485900990208,2.391214272590911,8.433971440090048,4.3490296803348505,2.4829994052888944
38,Alabama,2020,9th through 12th grade with no diploma,2,5612,25,3086.4,2010,748889.0,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539.0,729720,10.211888544230186,5.208371334069535,3.0824314417757503,10.088126859665014,5.103487774075398,3.074626996876383
39,Alabama,2020,High school graduate or GED completed,3,19011,26,3114.3,2010,748889.0,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539.0,729720,10.211888544230186,5.208371334069535,3.0824314417757503,10.088126859665014,5.103487774075398,3.074626996876383
40,Alabama,2020,"Some college credit, but not a degree",4,11508,27,3176.3,2009,745668.0,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019.0,924956,10.48116185755591,5.144914358669006,3.126796375867008,9.91833370261277,5.023747230815238,3.0112448840215444
41,Alabama,2020,"Associate degree (AA, AS)",5,5096,29,3227.75,2007,743273.0,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077.0,687816,9.682120835816718,4.915375642597,2.9251836135578717,9.337716831706059,4.740089781872166,2.793217728657612
42,Alabama,2020,"Bachelor's degree (BA, AB, BS)",6,8850,30,3288.6,2006,743265.0,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936.0,666550,8.868208512441727,4.475733419439904,2.6686067553295256,8.918840284428144,4.548920960788185,2.6514714435578983
43,Alabama,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4076,32,3291.7,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619,7.461849242488547,3.9369169434488196,2.1640403166406084,7.922301905658128,4.110943403074094,2.2961560964765932
44,Alabama,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1121,33,3278.0,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279,7.2797527132847915,3.8701895864816596,2.0902074460777578,7.518007974191148,3.907977800624369,2.136339378717363
45,Alabama,2021,Unknown or Not Stated,-9,62,28,3079.45,2007,743273.0,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077.0,687816,9.682120835816718,4.915375642597,2.9251836135578717,9.337716831706059,4.740089781872166,2.793217728657612
46,Alabama,2021,8th grade or less,1,2386,28,3177.85,2006,743265.0,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936.0,666550,8.868208512441727,4.475733419439904,2.6686067553295256,8.918840284428144,4.548920960788185,2.6514714435578983
47,Alabama,2021,9th through 12th grade with no diploma,2,5240,24,3093.0,2012,744621.0,7136949,789954,3948651,2398344,7222161,3695221,2239569,558658.0,580949,9.699110017042226,4.962552761740536,3.007662958740084,10.118760467702353,5.122520173066105,3.131240922537317
48,Alabama,2021,High school graduate or GED completed,3,19165,26,3125.35,2011,746933.0,7376725,1077070,3965614,2334041,7411768,3844055,2295909,559140.0,564183,9.922935524337523,5.146452225299994,3.0737817180389673,10.169620512716492,5.139491338753004,3.1181853923366636
49,Alabama,2021,"Some college credit, but not a degree",4,11255,28,3163.75,2009,745668.0,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019.0,924956,10.48116185755591,5.144914358669006,3.126796375867008,9.91833370261277,5.023747230815238,3.0112448840215444
50,Alabama,2021,"Associate degree (AA, AS)",5,5039,29,3213.15,2008,742919.0,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746.0,816799,10.56291062686511,5.312830873890693,3.1942513248416047,9.689300586255913,4.9128805364223345,2.923180786000234
51,Alabama,2021,"Bachelor's degree (BA, AB, BS)",6,9266,30,3290.05,2007,743273.0,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077.0,687816,9.682120835816718,4.915375642597,2.9251836135578717,9.337716831706059,4.740089781872166,2.793217728657612
52,Alabama,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4421,32,3280.95,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,8.095878202544212,4.186485900990208,2.391214272590911,8.433971440090048,4.3490296803348505,2.4829994052888944
53,Alabama,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1220,33,3296.05,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619,7.461849242488547,3.9369169434488196,2.1640403166406084,7.922301905658128,4.110943403074094,2.2961560964765932
54,Alaska,2016,Unknown or Not Stated,-9,166,30,3378.1,2000,132822.0,1313510,199520,774194,339796,1386904,717725,417637,46782.0,184546,10.441824396560811,5.403660538163859,3.144336028669949,10.468694659315105,5.377339986652642,3.2995899902932897
55,Alaska,2016,8th grade or less,1,76,28,3329.5,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279,10.628775997272417,5.31161116793575,3.633064363374626,10.856841109899014,5.482101675688793,3.4497782565871797
56,Alaska,2016,9th through 12th grade with no diploma,2,1050,24,3317.8,2007,132197.0,1800616,282270,1052357,465989,1938755,927307,645857,60699.0,257723,14.665650506441144,7.014584294651165,4.8855647253719825,15.401177040236291,7.374711248779255,5.167217179435623
57,Alaska,2016,High school graduate or GED completed,3,3346,26,3378.85,2006,132893.0,1625138,289855,918976,416307,1817656,871434,601197,58037.0,236931,13.677590241773457,6.557410849329912,4.523917738330837,14.546220743369533,6.939628308311747,4.78615588819919
58,Alaska,2016,"Some college credit, but not a degree",4,2911,28,3427.4,2004,133153.0,1477152,286447,809810,380895,1647250,775069,527349,54475.0,255826,12.371106922112157,5.820890254068628,3.9604740411406425,12.584213789723236,6.044064443226946,4.103414332483292
59,Alaska,2016,"Associate degree (AA, AS)",5,906,30,3426.6000000000004,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,11.452725358995565,5.61779565446207,3.6472746410044357,11.407190375100043,5.631602250962978,3.640580462444077
60,Alaska,2016,"Bachelor's degree (BA, AB, BS)",6,1848,31,3413.1,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279,10.628775997272417,5.31161116793575,3.633064363374626,10.856841109899014,5.482101675688793,3.4497782565871797
61,Alaska,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,719,33,3419.5,1999,133508.0,1243227,187153,740163,315911,1289988,705069,403903,42897.0,119079,9.662252449291428,5.28109925996944,3.0253093447583663,10.146817520548577,5.280185430902136,3.1620032701218115
62,Alaska,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,187,34,3404.25,1998,130633.0,1206195,157335,745814,303046,1222893,680848,376448,42456.0,104903,9.361286964243337,5.21191429424418,2.8817220763513047,9.881886645164775,5.065280033676236,3.1752616641371474
63,Alaska,2017,Unknown or Not Stated,-9,156,29,3209.75,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,11.452725358995565,5.61779565446207,3.6472746410044357,11.407190375100043,5.631602250962978,3.640580462444077
64,Alaska,2017,8th grade or less,1,88,28,3196.15,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,11.452725358995565,5.61779565446207,3.6472746410044357,11.407190375100043,5.631602250962978,3.640580462444077
65,Alaska,2017,9th through 12th grade with no diploma,2,942,24,3307.3,2008,130624.0,2188587,303399,1419318,465870,2274819,1113396,740000,65654.0,307512,17.415015617344437,8.523670994610486,5.665115139637432,16.284731649631105,7.861113082738248,5.586942718616137
66,Alaska,2017,High school graduate or GED completed,3,3097,27,3384.4,2006,132893.0,1625138,289855,918976,416307,1817656,871434,601197,58037.0,236931,13.677590241773457,6.557410849329912,4.523917738330837,14.546220743369533,6.939628308311747,4.78615588819919
67,Alaska,2017,"Some college credit, but not a degree",4,2723,28,3409.2,2005,132568.0,1599739,302846,878731,418162,1751718,829666,559084,55782.0,268700,13.213731820650533,6.258418321163479,4.217337517349587,13.553676592590667,6.502930132751908,4.393707300520836
68,Alaska,2017,"Associate degree (AA, AS)",5,844,30,3410.4,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005,12.079915680817386,5.727740560977622,3.8562673008109343,11.980810059740334,5.8139324780144745,3.854667375811573
69,Alaska,2017,"Bachelor's degree (BA, AB, BS)",6,1722,31,3430.25,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,11.452725358995565,5.61779565446207,3.6472746410044357,11.407190375100043,5.631602250962978,3.640580462444077
70,Alaska,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,688,33,3452.05,2000,132822.0,1313510,199520,774194,339796,1386904,717725,417637,46782.0,184546,10.441824396560811,5.403660538163859,3.144336028669949,10.468694659315105,5.377339986652642,3.2995899902932897
71,Alaska,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,185,34,3330.95,1999,133508.0,1243227,187153,740163,315911,1289988,705069,403903,42897.0,119079,9.662252449291428,5.28109925996944,3.0253093447583663,10.146817520548577,5.280185430902136,3.1620032701218115
72,Alaska,2018,Unknown or Not Stated,-9,139,29,3272.75,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005,12.079915680817386,5.727740560977622,3.8562673008109343,11.980810059740334,5.8139324780144745,3.854667375811573
73,Alaska,2018,8th grade or less,1,63,28,3292.95,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005,12.079915680817386,5.727740560977622,3.8562673008109343,11.980810059740334,5.8139324780144745,3.854667375811573
74,Alaska,2018,9th through 12th grade with no diploma,2,880,25,3276.05,2008,130624.0,2188587,303399,1419318,465870,2274819,1113396,740000,65654.0,307512,17.415015617344437,8.523670994610486,5.665115139637432,16.284731649631105,7.861113082738248,5.586942718616137
75,Alaska,2018,High school graduate or GED completed,3,3021,26,3392.45,2008,130624.0,2188587,303399,1419318,465870,2274819,1113396,740000,65654.0,307512,17.415015617344437,8.523670994610486,5.665115139637432,16.284731649631105,7.861113082738248,5.586942718616137
76,Alaska,2018,"Some college credit, but not a degree",4,2556,28,3408.7,2006,132893.0,1625138,289855,918976,416307,1817656,871434,601197,58037.0,236931,13.677590241773457,6.557410849329912,4.523917738330837,14.546220743369533,6.939628308311747,4.78615588819919
77,Alaska,2018,"Associate degree (AA, AS)",5,838,30,3424.8999999999996,2004,133153.0,1477152,286447,809810,380895,1647250,775069,527349,54475.0,255826,12.371106922112157,5.820890254068628,3.9604740411406425,12.584213789723236,6.044064443226946,4.103414332483292
78,Alaska,2018,"Bachelor's degree (BA, AB, BS)",6,1737,31,3436.05,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005,12.079915680817386,5.727740560977622,3.8562673008109343,11.980810059740334,5.8139324780144745,3.854667375811573
79,Alaska,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,643,33,3454.0,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279,10.628775997272417,5.31161116793575,3.633064363374626,10.856841109899014,5.482101675688793,3.4497782565871797
80,Alaska,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,209,34,3409.2,2000,132822.0,1313510,199520,774194,339796,1386904,717725,417637,46782.0,184546,10.441824396560811,5.403660538163859,3.144336028669949,10.468694659315105,5.377339986652642,3.2995899902932897
81,Alaska,2019,Unknown or Not Stated,-9,169,29,3295.95,2004,133153.0,1477152,286447,809810,380895,1647250,775069,527349,54475.0,255826,12.371106922112157,5.820890254068628,3.9604740411406425,12.584213789723236,6.044064443226946,4.103414332483292
82,Alaska,2019,8th grade or less,1,68,30,3246.55,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,11.452725358995565,5.61779565446207,3.6472746410044357,11.407190375100043,5.631602250962978,3.640580462444077
83,Alaska,2019,9th through 12th grade with no diploma,2,830,25,3235.55,2009,130236.0,2158970,312667,1357747,488556,2396412,1129756,832783,70835.0,303165,18.40053441444762,8.674682883380939,6.39441475475291,17.10988956044107,8.338870140848696,6.019156889646495
84,Alaska,2019,High school graduate or GED completed,3,3001,27,3366.4,2008,130624.0,2188587,303399,1419318,465870,2274819,1113396,740000,65654.0,307512,17.415015617344437,8.523670994610486,5.665115139637432,16.284731649631105,7.861113082738248,5.586942718616137
85,Alaska,2019,"Some college credit, but not a degree",4,2446,28,3408.1,2007,132197.0,1800616,282270,1052357,465989,1938755,927307,645857,60699.0,257723,14.665650506441144,7.014584294651165,4.8855647253719825,15.401177040236291,7.374711248779255,5.167217179435623
86,Alaska,2019,"Associate degree (AA, AS)",5,776,30,3422.5,2005,132568.0,1599739,302846,878731,418162,1751718,829666,559084,55782.0,268700,13.213731820650533,6.258418321163479,4.217337517349587,13.553676592590667,6.502930132751908,4.393707300520836
87,Alaska,2019,"Bachelor's degree (BA, AB, BS)",6,1675,32,3428.3,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005,12.079915680817386,5.727740560977622,3.8562673008109343,11.980810059740334,5.8139324780144745,3.854667375811573
88,Alaska,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,636,33,3417.55,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,11.452725358995565,5.61779565446207,3.6472746410044357,11.407190375100043,5.631602250962978,3.640580462444077
89,Alaska,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,221,34,3382.2,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279,10.628775997272417,5.31161116793575,3.633064363374626,10.856841109899014,5.482101675688793,3.4497782565871797
90,Alaska,2020,Unknown or Not Stated,-9,153,29,3230.2,2005,132568.0,1599739,302846,878731,418162,1751718,829666,559084,55782.0,268700,13.213731820650533,6.258418321163479,4.217337517349587,13.553676592590667,6.502930132751908,4.393707300520836
91,Alaska,2020,8th grade or less,1,53,29,3362.1499999999996,2004,133153.0,1477152,286447,809810,380895,1647250,775069,527349,54475.0,255826,12.371106922112157,5.820890254068628,3.9604740411406425,12.584213789723236,6.044064443226946,4.103414332483292
92,Alaska,2020,9th through 12th grade with no diploma,2,735,26,3306.95,2009,130236.0,2158970,312667,1357747,488556,2396412,1129756,832783,70835.0,303165,18.40053441444762,8.674682883380939,6.39441475475291,17.10988956044107,8.338870140848696,6.019156889646495
93,Alaska,2020,High school graduate or GED completed,3,2994,27,3369.3,2009,130236.0,2158970,312667,1357747,488556,2396412,1129756,832783,70835.0,303165,18.40053441444762,8.674682883380939,6.39441475475291,17.10988956044107,8.338870140848696,6.019156889646495
94,Alaska,2020,"Some college credit, but not a degree",4,2300,28,3384.3,2008,130624.0,2188587,303399,1419318,465870,2274819,1113396,740000,65654.0,307512,17.415015617344437,8.523670994610486,5.665115139637432,16.284731649631105,7.861113082738248,5.586942718616137
95,Alaska,2020,"Associate degree (AA, AS)",5,813,30,3405.95,2006,132893.0,1625138,289855,918976,416307,1817656,871434,601197,58037.0,236931,13.677590241773457,6.557410849329912,4.523917738330837,14.546220743369533,6.939628308311747,4.78615588819919
96,Alaska,2020,"Bachelor's degree (BA, AB, BS)",6,1579,31,3412.0,2005,132568.0,1599739,302846,878731,418162,1751718,829666,559084,55782.0,268700,13.213731820650533,6.258418321163479,4.217337517349587,13.553676592590667,6.502930132751908,4.393707300520836
97,Alaska,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,612,33,3390.0,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005,12.079915680817386,5.727740560977622,3.8562673008109343,11.980810059740334,5.8139324780144745,3.854667375811573
98,Alaska,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,230,34,3393.1000000000004,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,11.452725358995565,5.61779565446207,3.6472746410044357,11.407190375100043,5.631602250962978,3.640580462444077
99,Alaska,2021,Unknown or Not Stated,-9,168,29,3155.7,2006,132893.0,1625138,289855,918976,416307,1817656,871434,601197,58037.0,236931,13.677590241773457,6.557410849329912,4.523917738330837,14.546220743369533,6.939628308311747,4.78615588819919
100,Alaska,2021,8th grade or less,1,60,29,3162.3,2005,132568.0,1599739,302846,878731,418162,1751718,829666,559084,55782.0,268700,13.213731820650533,6.258418321163479,4.217337517349587,13.553676592590667,6.502930132751908,4.393707300520836
101,Alaska,2021,9th through 12th grade with no diploma,2,712,25,3319.05,2011,131704.0,2357828,420152,1416163,521513,2443898,1215062,908567,81031.0,180137,18.55598918787584,9.22570309178157,6.89855281540424,18.950461501469764,9.317070934160865,6.821154417237585
102,Alaska,2021,High school graduate or GED completed,3,2848,27,3354.8,2010,131265.0,2230338,366970,1356673,506695,2371251,1151630,856333,71634.0,229874,18.0646097588847,8.77332114425018,6.523696339465966,18.061163340395098,8.845640742241722,6.443504534482605
103,Alaska,2021,"Some college credit, but not a degree",4,2257,28,3387.55,2009,130236.0,2158970,312667,1357747,488556,2396412,1129756,832783,70835.0,303165,18.40053441444762,8.674682883380939,6.39441475475291,17.10988956044107,8.338870140848696,6.019156889646495
